 ,Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
109,ID27741,27741,17,598.014,300.557,111.601,0,2,2,7.500,1,-10921639,64142.444,65535,36541,65535,31365655,5086.116,14.689,0.221,4.566
110,ID27751,27751,19,670.813,615.455,116.605,0,2,2,7.500,1,-10921639,64469.376,65535,35151,65535,31525525,4497.155,16.108,0.272,6.124
111,ID27752,27752,14,769.214,259.172,117.509,0,2,2,7.500,1,-10921639,55925.544,65535,29391,65535,27347591,13591.327,11.178,0.300,1.901
112,ID27754,27754,21,607.853,302.271,118.866,0,2,2,7.500,1,-10921639,64411.697,65535,38527,65535,31497320,4375.221,15.326,0.228,5.459
113,ID27771,27771,30,599.085,519.744,127.767,0,2,2,7.500,1,-10921639,63586.476,65535,35349,65535,31093787,6190.509,13.952,0.226,3.786
114,ID27794,27794,46,611.589,620.374,140.607,0,2,2,7.500,1,-10921639,63829.329,65535,34356,65535,31212542,5771.136,13.982,0.236,4.224
115,ID27797,27797,47,641.110,541.668,141.055,0,2,2,7.500,1,-10921639,64005.577,65535,31576,65535,31298727,5684.956,16.975,0.251,4.520
116,ID27812,27812,15,518.559,594.123,149.246,0,2,2,7.500,1,-10921639,55816.509,59379,30186,65535,27294273,9983.749,10.842,0.173,1.653
117,ID27829,27829,22,612.996,607.030,161.311,0,2,2,7.500,1,-10921639,59345.971,64344,29987,65535,29020180,9660.998,11.089,0.223,2.240
118,ID27867,27867,4,691.590,158.729,178.604,0,2,2,7.500,1,-10921639,65121.994,65535,40115,65535,31844655,2378.867,16.153,0.282,12.058
119,ID27897,27897,23,415.247,231.036,192.188,0,2,2,7.500,1,-10921639,44692.041,46669,28398,56599,21854408,7321.902,10.912,0.184,1.894
120,ID27899,27899,31,643.425,180.976,194.404,0,2,2,7.500,1,-10921639,64488.444,65535,33760,65535,31534849,4927.929,17.245,0.253,5.282
121,ID27907,27907,39,389.012,210.626,197.102,0,2,2,7.500,1,-10921639,43989.487,45080,28796,55209,21510859,6071.867,10.903,0.174,2.142
122,ID27959,27959,28,164.608,504.790,223.211,0,2,2,7.500,1,-10921639,34497.200,34555,29193,41108,16869131,2628.211,10.983,0.074,1.812
123,ID27996,27996,8,148.510,490.197,240.677,0,2,2,7.500,1,-10921639,34416.777,34753,29193,39520,16829804,2258.269,11.057,0.072,2.053
124,ID28031,28031,41,545.261,657.999,254.816,0,2,2,7.500,1,-10921639,62691.389,65535,29987,65535,30656089,8214.168,13.345,0.194,2.477
125,ID28049,28049,6,548.734,673.780,267.521,0,2,2,7.500,1,-10921639,62795.763,65535,29590,65535,30707128,8136.920,20.614,0.197,2.539
126,ID28068,28068,26,656.822,236.738,276.835,0,2,2,7.500,1,-10921639,56764.526,65535,28398,65535,27757853,14272.596,10.708,0.234,1.506
127,ID28074,28074,27,692.306,341.149,281.716,0,2,2,7.500,1,-10921639,64315.043,65535,33363,65535,31450056,5027.012,17.484,0.281,5.612
128,ID28089,28089,37,695.031,315.999,289.979,0,2,2,7.500,1,-10921639,65299.049,65535,36739,65535,31931235,2211.168,16.953,0.283,13.024
129,ID28101,28101,1,718.062,49.137,296.647,0,2,2,7.500,1,-10921639,63745.256,65535,28001,65535,31171430,6903.562,14.698,0.286,4.112
130,ID28103,28103,2,788.389,229.592,296.908,0,2,2,7.500,1,-10921639,61533.982,65535,29193,65535,30090117,9446.234,13.631,0.337,3.281
131,ID28110,28110,5,726.991,76.991,299.023,0,2,2,7.500,1,-10921639,64810.096,65535,36541,65535,31692137,3770.024,16.597,0.303,7.992
132,ID28125,28125,18,216.488,144.719,312.052,0,2,2,7.500,1,-10921639,33349.479,34158,25618,39520,16307895,3398.501,11.070,0.116,2.037
133,ID28137,28137,32,98.845,582.123,319.333,0,2,2,7.500,1,-10921639,30598.832,30782,27803,35151,14962829,2063.374,10.367,0.042,1.182
134,ID28145,28145,38,793.395,12.746,323.712,0,2,2,7.500,1,-10921639,58482.405,65535,26214,65535,28597896,13444.269,11.035,0.326,2.140
135,ID28146,28146,35,108.495,117.569,323.715,0,2,2,7.500,1,-10921639,28919.898,28994,25420,32966,14141830,1826.685,10.637,0.055,1.645
136,ID28163,28163,44,769.189,37.897,331.048,0,2,2,7.500,1,-10921639,63588.503,65535,32370,65535,31094778,6481.149,14.503,0.319,4.750
137,ID28165,28165,40,118.836,564.901,331.009,0,2,2,7.500,1,-10921639,30873.779,30980,27604,36144,15097278,2531.557,10.306,0.048,1.124
138,ID28180,28180,9,789.598,78.028,340.776,0,2,2,7.500,1,-10921639,59238.227,65535,31576,65535,28967493,10848.282,17.099,0.324,2.675
139,ID28212,28212,33,585.033,602.890,356.998,0,2,2,7.500,1,-10921639,64440.123,65535,33760,65535,31511220,4901.275,16.306,0.219,4.724
140,ID28213,28213,25,572.699,627.284,358.002,0,2,2,7.500,1,-10921639,61343.912,65535,28994,65535,29997173,10141.355,10.980,0.201,2.025
141,ID28217,28217,None,572.813,627.284,358.002,0,2,2,7.500,1,-10921639,61343.912,65535,28994,65535,29997173,10141.355,10.980,0.201,2.025
142,ID28220,28220,25,572.934,625.753,362.087,0,2,2,7.500,1,-10921639,62835.973,65535,30384,65535,30726791,7945.962,13.520,0.207,2.712
143,ID28226,28226,42,710.400,105.461,366.634,0,2,2,7.500,1,-10921639,65478.554,65535,51237,65535,32019013,773.987,17.850,0.290,38.000
144,ID28228,28228,43,246.551,0.000,368.295,0,2,2,7.500,1,-10921639,23882.182,30980,0,38725,11678387,13946.453,10.744,0.257,0.701
145,ID28236,28236,0,302.536,31.980,371.719,0,2,2,7.500,1,-10921639,34283.963,35548,22639,43889,16764858,5176.598,11.118,0.170,1.925
146,ID28259,28259,20,765.800,125.840,384.774,0,2,2,7.500,1,-10921639,65480.990,65535,49648,65535,32020204,826.488,17.490,0.321,38.516
147,ID28318,28318,16,587.574,245.716,410.712,0,2,2,7.500,1,-10921639,64953.454,65535,41704,65535,31762239,3171.431,21.316,0.225,7.517
148,ID28378,28378,10,350.043,181.911,437.111,0,2,2,7.500,1,-10921639,35663.151,37137,24427,46868,17439281,6625.639,10.612,0.172,1.579
149,ID28379,28379,12,605.351,251.563,437.330,0,2,2,7.500,1,-10921639,63863.039,65535,30186,65535,31229026,6302.148,14.252,0.225,3.720
150,ID28672,28672,19,670.742,614.699,116.820,0,3,3,7.500,1,-10921639,64550.593,65535,36144,65535,31565240,4348.767,16.155,0.271,6.338
151,ID28674,28674,14,753.595,259.097,117.489,0,3,3,7.500,1,-10921639,58126.268,65535,29193,65535,28423745,12855.418,11.018,0.300,2.085
152,ID28675,28675,21,610.103,302.706,117.419,0,3,3,7.500,1,-10921639,63953.609,65535,34555,65535,31273315,5530.732,14.626,0.227,4.282
153,ID28693,28693,30,592.898,520.388,129.843,0,3,3,7.500,1,-10921639,63645.773,65535,33165,65535,31122783,6209.482,14.952,0.223,3.737
154,ID28709,28709,46,650.864,619.614,140.673,0,3,3,7.500,1,-10921639,64550.593,65535,40910,65535,31565240,4054.212,16.117,0.261,6.597
155,ID28713,28713,47,632.135,542.653,141.885,0,3,3,7.500,1,-10921639,64816.184,65535,36739,65535,31695114,3641.144,17.594,0.249,7.090
156,ID28727,28727,15,546.927,591.255,150.668,0,3,3,7.500,1,-10921639,55929.012,58585,29987,65535,27349287,9499.142,10.862,0.190,1.879
157,ID28752,28752,22,642.574,605.699,161.454,0,3,3,7.500,1,-10921639,59622.534,64543,31179,65535,29155419,9236.577,13.123,0.242,2.516
158,ID28793,28793,4,680.714,157.951,179.355,0,3,3,7.500,1,-10921639,64835.683,65535,41307,65535,31704649,3198.097,15.921,0.279,8.849
159,ID28812,28812,23,423.966,228.658,192.257,0,3,3,7.500,1,-10921639,44894.716,46470,28398,55606,21953516,7148.871,11.000,0.188,1.986
160,ID28818,28818,31,624.175,179.727,193.996,0,3,3,7.500,1,-10921639,63969.035,65535,29789,65535,31280858,6013.062,16.162,0.242,4.139
161,ID28823,28823,39,401.278,207.606,195.555,0,3,3,7.500,1,-10921639,44296.916,45676,28994,54613,21661192,6255.196,10.843,0.182,2.180
162,ID28877,28877,28,166.475,505.243,223.383,0,3,3,7.500,1,-10921639,34678.724,34753,29193,40314,16957896,2494.747,10.787,0.077,1.996
163,ID28910,28910,8,144.421,490.539,240.882,0,3,3,7.500,1,-10921639,34266.928,34356,29193,39123,16756528,2091.346,10.606,0.070,2.142
164,ID28943,28943,41,561.497,657.032,253.301,0,3,3,7.500,1,-10921639,63903.656,65535,31179,65535,31248888,5922.448,16.221,0.209,3.731
165,ID28964,28964,6,560.939,673.110,267.181,0,3,3,7.500,1,-10921639,63590.532,65535,29987,65535,31095770,6753.138,20.428,0.206,3.223
166,ID28982,28982,26,667.077,234.974,276.868,0,3,3,7.500,1,-10921639,56288.145,65535,28398,65535,27524903,14449.297,10.735,0.238,1.500
167,ID28990,28990,27,700.081,343.226,280.572,0,3,3,7.500,1,-10921639,64225.290,65535,31775,65535,31406167,5377.246,17.627,0.283,5.272
168,ID29008,29008,37,676.171,317.215,290.073,0,3,3,7.500,1,-10921639,65482.613,65535,45478,65535,32020998,940.717,17.604,0.271,29.645
169,ID29019,29019,1,721.269,49.843,296.254,0,3,3,7.500,1,-10921639,61682.186,65535,25221,65535,30162589,10280.645,13.313,0.280,2.622
170,ID29022,29022,2,792.512,228.359,297.612,0,3,3,7.500,1,-10921639,61437.319,65535,28597,65535,30042849,9648.576,13.598,0.339,3.225
171,ID29024,29024,5,721.240,77.378,300.467,0,3,3,7.500,1,-10921639,64637.495,65535,35349,65535,31607735,4400.213,16.811,0.299,6.765
172,ID29045,29045,18,241.978,145.301,313.656,0,3,3,7.500,1,-10921639,34486.219,35151,25618,42896,16863761,3792.527,11.104,0.130,2.096
173,ID29054,29054,32,96.864,582.922,320.245,0,3,3,7.500,1,-10921639,30818.949,30980,28200,35349,15070466,1979.615,10.436,0.039,1.180
174,ID29058,29058,35,113.517,117.846,322.178,0,3,3,7.500,1,-10921639,29298.785,29391,25618,34555,14327106,1708.011,13.803,0.060,1.955
175,ID29060,29060,38,800.780,12.097,323.324,0,3,3,7.500,1,-10921639,59953.358,65535,25221,65535,29317192,11835.379,13.160,0.340,2.570
176,ID29070,29070,44,757.290,35.809,329.821,0,3,3,7.500,1,-10921639,63153.957,65535,27207,65535,30882285,7414.459,13.996,0.310,4.028
177,ID29072,29072,40,102.807,565.011,329.962,0,3,3,7.500,1,-10921639,30832.358,30980,27803,34952,15077023,2119.433,10.374,0.043,1.187
178,ID29073,29073,9,785.725,84.941,331.539,0,3,3,7.500,1,-10921639,51679.540,65535,26015,65535,25271295,16543.771,10.555,0.318,1.508
179,ID29117,29117,9,800.986,79.614,354.589,0,3,3,7.500,1,-10921639,51480.546,65535,24427,65535,25173987,16295.887,10.570,0.326,1.554
