seqname	source	feature	start	end	score	strand	frame	gene_id	transcript_id
Y	Ensembl	similarity	2787184	2787462	337	-	.		
Y	Ensembl	similarity	2787184	2787465	336	-	.		
Y	Ensembl	similarity	2787184	2787465	332	-	.		
Y	Ensembl	similarity	2787184	2787465	332	-	.		
Y	Ensembl	similarity	2787184	2787465	336	-	.		
Y	Ensembl	similarity	2787184	2787480	321	-	.		
Y	Ensembl	similarity	2787184	2787483	316	-	.		
Y	Ensembl	similarity	2787184	2787495	328	-	.		
Y	Ensembl	similarity	2787184	2787519	325	-	.		
Y	Ensembl	similarity	2787184	2787522	301	-	.		
Y	Ensembl	similarity	2787184	2787522	310	-	.		
Y	Ensembl	similarity	2787184	2787549	319	-	.		
Y	Ensembl	similarity	2787184	2787573	258	-	.		
Y	Ensembl	similarity	2787187	2787426	245	-	.		
Y	Ensembl	similarity	2787187	2787573	257	-	.		
Y	Ensembl	similarity	2787187	2787573	257	-	.		
Y	Ensembl	similarity	2787193	2787459	264	-	.		
Y	Ensembl	similarity	2787193	2787573	282	-	.		
Y	Ensembl	similarity	2787193	2787573	282	-	.		
Y	Ensembl	similarity	2787193	2787573	266	-	.		
Y	Ensembl	similarity	2787193	2787573	282	-	.		
Y	Ensembl	similarity	2787196	2787426	247	-	.		
Y	Ensembl	similarity	2787196	2787426	247	-	.		
Y	Ensembl	similarity	2787196	2787507	314	-	.		
Y	Ensembl	similarity	2787196	2787558	293	-	.		
Y	Ensembl	similarity	2787202	2787573	265	-	.		
Y	Ensembl	similarity	2787202	2787573	265	-	.		
Y	Ensembl	similarity	2787478	2787573	175	-	.		
Y	Ensembl	pred.trans.	2790058	2790212	9.7	-	2		
Y	Ensembl	pred.trans.	2786989	2787574	57	-	0		
Y	dbSNP	variation	2786938	2786938	.	+	.		
Y	dbSNP	variation	2786962	2786962	.	+	.		
Y	dbSNP	variation	2786967	2786967	.	+	.		
Y	dbSNP	variation	2787015	2787015	.	+	.		
Y	dbSNP	variation	2787044	2787044	.	+	.		
Y	dbSNP	variation	2787113	2787113	.	+	.		
Y	HGMD-PUBLIC	variation	2787116	2787116	.	+	.		
Y	HGMD-PUBLIC	variation	2787129	2787128	.	+	.		
Y	HGMD-PUBLIC	variation	2787130	2787130	.	+	.		
Y	dbSNP	variation	2787136	2787136	.	+	.		
Y	dbSNP	variation	2787139	2787139	.	+	.		
Y	HGMD-PUBLIC	variation	2787177	2787177	.	+	.		
Y	HGMD-PUBLIC	variation	2787177	2787177	.	+	.		
Y	HGMD-PUBLIC	variation	2787189	2787189	.	+	.		
Y	HGMD-PUBLIC	variation	2787207	2787207	.	+	.		
Y	HGMD-PUBLIC	variation	2787207	2787207	.	+	.		
Y	dbSNP	variation	2787207	2787207	.	+	.		
Y	HGMD-PUBLIC	variation	2787210	2787210	.	+	.		
Y	HGMD-PUBLIC	variation	2787212	2787212	.	+	.		
Y	HGMD-PUBLIC	variation	2787216	2787216	.	+	.		
Y	HGMD-PUBLIC	variation	2787217	2787217	.	+	.		
Y	HGMD-PUBLIC	variation	2787217	2787217	.	+	.		
Y	HGMD-PUBLIC	variation	2787219	2787219	.	+	.		
Y	HGMD-PUBLIC	variation	2787221	2787221	.	+	.		
Y	dbSNP	variation	2787221	2787221	.	+	.		
Y	HGMD-PUBLIC	variation	2787223	2787223	.	+	.		
Y	HGMD-PUBLIC	variation	2787224	2787224	.	+	.		
Y	HGMD-PUBLIC	variation	2787224	2787224	.	+	.		
Y	dbSNP	variation	2787224	2787224	.	+	.		
Y	HGMD-PUBLIC	variation	2787225	2787225	.	+	.		
Y	HGMD-PUBLIC	variation	2787230	2787230	.	+	.		
Y	HGMD-PUBLIC	variation	2787237	2787237	.	+	.		
Y	dbSNP	variation	2787237	2787240	.	+	.		
Y	dbSNP	variation	2787240	2787240	.	+	.		
Y	HGMD-PUBLIC	variation	2787252	2787252	.	+	.		
Y	HGMD-PUBLIC	variation	2787257	2787257	.	+	.		
Y	dbSNP	variation	2787265	2787265	.	+	.		
Y	HGMD-PUBLIC	variation	2787267	2787267	.	+	.		
Y	dbSNP	variation	2787267	2787267	.	+	.		
Y	HGMD-PUBLIC	variation	2787270	2787270	.	+	.		
Y	HGMD-PUBLIC	variation	2787278	2787278	.	+	.		
Y	dbSNP	variation	2787278	2787278	.	+	.		
Y	HGMD-PUBLIC	variation	2787280	2787280	.	+	.		
Y	dbSNP	variation	2787280	2787280	.	+	.		
Y	HGMD-PUBLIC	variation	2787281	2787281	.	+	.		
Y	HGMD-PUBLIC	variation	2787282	2787282	.	+	.		
Y	HGMD-PUBLIC	variation	2787284	2787284	.	+	.		
Y	dbSNP	variation	2787284	2787284	.	+	.		
Y	HGMD-PUBLIC	variation	2787285	2787284	.	+	.		
Y	HGMD-PUBLIC	variation	2787287	2787287	.	+	.		
Y	dbSNP	variation	2787287	2787287	.	+	.		
Y	HGMD-PUBLIC	variation	2787302	2787302	.	+	.		
Y	HGMD-PUBLIC	variation	2787303	2787303	.	+	.		
Y	HGMD-PUBLIC	variation	2787310	2787310	.	+	.		
Y	HGMD-PUBLIC	variation	2787312	2787312	.	+	.		
Y	HGMD-PUBLIC	variation	2787315	2787315	.	+	.		
Y	HGMD-PUBLIC	variation	2787317	2787317	.	+	.		
Y	HGMD-PUBLIC	variation	2787320	2787320	.	+	.		
Y	dbSNP	variation	2787320	2787320	.	+	.		
Y	HGMD-PUBLIC	variation	2787321	2787321	.	+	.		
Y	dbSNP	variation	2787321	2787321	.	+	.		
Y	HGMD-PUBLIC	variation	2787323	2787323	.	+	.		
Y	HGMD-PUBLIC	variation	2787324	2787324	.	+	.		
Y	HGMD-PUBLIC	variation	2787327	2787327	.	+	.		
Y	dbSNP	variation	2787327	2787327	.	+	.		
Y	HGMD-PUBLIC	variation	2787329	2787329	.	+	.		
Y	HGMD-PUBLIC	variation	2787330	2787330	.	+	.		
Y	dbSNP	variation	2787330	2787330	.	+	.		
Y	HGMD-PUBLIC	variation	2787333	2787333	.	+	.		
Y	HGMD-PUBLIC	variation	2787334	2787334	.	+	.		
Y	dbSNP	variation	2787334	2787334	.	+	.		
Y	HGMD-PUBLIC	variation	2787338	2787338	.	+	.		
Y	HGMD-PUBLIC	variation	2787339	2787338	.	+	.		
Y	HGMD-PUBLIC	variation	2787339	2787339	.	+	.		
Y	HGMD-PUBLIC	variation	2787345	2787345	.	+	.		
Y	HGMD-PUBLIC	variation	2787348	2787348	.	+	.		
Y	HGMD-PUBLIC	variation	2787350	2787350	.	+	.		
Y	dbSNP	variation	2787350	2787350	.	+	.		
Y	dbSNP	variation	2787353	2787353	.	+	.		
Y	HGMD-PUBLIC	variation	2787359	2787359	.	+	.		
Y	HGMD-PUBLIC	variation	2787360	2787359	.	+	.		
Y	HGMD-PUBLIC	variation	2787367	2787367	.	+	.		
Y	HGMD-PUBLIC	variation	2787371	2787371	.	+	.		
Y	HGMD-PUBLIC	variation	2787375	2787374	.	+	.		
Y	HGMD-PUBLIC	variation	2787377	2787377	.	+	.		
Y	HGMD-PUBLIC	variation	2787378	2787378	.	+	.		
Y	HGMD-PUBLIC	variation	2787379	2787379	.	+	.		
Y	HGMD-PUBLIC	variation	2787382	2787382	.	+	.		
Y	HGMD-PUBLIC	variation	2787384	2787384	.	+	.		
Y	dbSNP	variation	2787385	2787385	.	+	.		
Y	HGMD-PUBLIC	variation	2787390	2787390	.	+	.		
Y	HGMD-PUBLIC	variation	2787395	2787395	.	+	.		
Y	HGMD-PUBLIC	variation	2787395	2787395	.	+	.		
Y	dbSNP	variation	2787395	2787395	.	+	.		
Y	dbSNP	variation	2787399	2787399	.	+	.		
Y	HGMD-PUBLIC	variation	2787401	2787401	.	+	.		
Y	dbSNP	variation	2787401	2787401	.	+	.		
Y	HGMD-PUBLIC	variation	2787405	2787405	.	+	.		
Y	HGMD-PUBLIC	variation	2787405	2787405	.	+	.		
Y	HGMD-PUBLIC	variation	2787411	2787411	.	+	.		
Y	HGMD-PUBLIC	variation	2787412	2787412	.	+	.		
Y	dbSNP	variation	2787412	2787412	.	+	.		
Y	HGMD-PUBLIC	variation	2787413	2787413	.	+	.		
Y	HGMD-PUBLIC	variation	2787420	2787420	.	+	.		
Y	HGMD-PUBLIC	variation	2787425	2787425	.	+	.		
Y	dbSNP	variation	2787425	2787425	.	+	.		
Y	HGMD-PUBLIC	variation	2787426	2787426	.	+	.		
Y	dbSNP	variation	2787426	2787426	.	+	.		
Y	HGMD-PUBLIC	variation	2787429	2787429	.	+	.		
Y	dbSNP	variation	2787430	2787430	.	+	.		
Y	HGMD-PUBLIC	variation	2787434	2787434	.	+	.		
Y	dbSNP	variation	2787434	2787434	.	+	.		
Y	dbSNP	variation	2787456	2787456	.	+	.		
Y	HGMD-PUBLIC	variation	2787477	2787476	.	+	.		
Y	HGMD-PUBLIC	variation	2787491	2787491	.	+	.		
Y	HGMD-PUBLIC	variation	2787515	2787515	.	+	.		
Y	HGMD-PUBLIC	variation	2787533	2787533	.	+	.		
Y	dbSNP	variation	2787541	2787541	.	+	.		
Y	HGMD-PUBLIC	variation	2787551	2787551	.	+	.		
Y	dbSNP	variation	2787551	2787551	.	+	.		
Y	HGMD-PUBLIC	variation	2787565	2787564	.	+	.		
Y	HGMD-PUBLIC	variation	2787592	2787592	.	+	.		
Y	HGMD-PUBLIC	variation	2787592	2787592	.	+	.		
Y	dbSNP	variation	2787592	2787592	.	+	.		
Y	HGMD-PUBLIC	variation	2787596	2787596	.	+	.		
Y	HGMD-PUBLIC	variation	2787600	2787600	.	+	.		
Y	dbSNP	variation	2787600	2787600	.	+	.		
Y	dbSNP	variation	2787606	2787606	.	+	.		
Y	dbSNP	variation	2787609	2787609	.	+	.		
Y	dbSNP	variation	2787612	2787612	.	+	.		
Y	HGMD-PUBLIC	variation	2787678	2787678	.	+	.		
Y	Ensembl	gene	2786855	2787699	.	-	.	ENSG00000184895	ENST00000383070
Y	Vega	gene	2786855	2787699	.	-	.	OTTHUMG00000036084	OTTHUMT00000087931
Y	Ensembl	gene	2786855	2787741	.	-	0	6736	NM_003140.2
Y	Ensembl	gene	2786855	2787741	.	-	0	6736	NM_003140.2
Y	Ensembl	gene	2786989	2787603	.	-	0	CCDS14772.1	CCDS14772.1
